"maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD"
32.77,20.65,18.49,4.63,15.2550602409639,7,0,-Inf
27.34,15,14.15,2.17,14.048431372549,0,0,0
31.91,21.07,17.63,4.72,15.3575862068966,4,0,-Inf
29.46,21.07,16.89,4.72,15.4184337349398,0,0,-Inf
30.23,15.98,14.69,3.55,15.3951948051948,1,0,-Inf
30.54,18.06,13.99,4.15,15.2780555555556,2,0,-Inf
41.07,20.65,25.95,4.63,15.3915555555556,56,1,-Inf
29.85,17.54,16.99,4.9,14.3229032258065,0,0,-Inf
29.85,17.54,15.14,4.9,14.4078947368421,0,0,-Inf
42.98,20.65,28.16,4.63,15.3993103448276,61,4,-Inf
42.19,20.65,28.16,4.63,15.3895588235294,58,2,-Inf
40.08,21.07,25.54,4.72,15.4165277777778,57,1,-Inf
26.62,15.28,12.61,2.85,13.9266666666667,0,0,-Inf
29.5,21.07,16.89,4.72,15.3849411764706,0,0,-Inf
30.14,17.54,16.99,4.9,14.3020909090909,1,0,-Inf
30,17.65,16.52,5.04,14.4301851851852,0,0,-Inf
30.37,17.65,16.52,5.04,14.4819266055046,1,0,-Inf
30.37,17.65,16.52,5.04,14.4862727272727,1,0,-Inf
30.53,17.65,16.52,5.04,14.541875,3,0,-Inf
30.53,17.65,16.52,5.04,14.5637735849057,3,0,-Inf
30.37,17.65,16.52,5.04,14.4862727272727,1,0,-Inf
32.78,21.07,18.62,4.72,15.4022988505747,7,0,-Inf
30.37,17.65,16.52,5.04,14.5116513761468,2,0,-Inf
26.78,15,14.15,2.17,13.8485227272727,0,0,-Inf
29,17.1,16.99,3.87,14.21890625,0,0,-Inf
29.85,17.54,16.99,4.9,14.3281720430108,0,0,-Inf
40.2,20.65,24.69,4.63,15.3391836734694,54,0,-Inf
30.53,17.65,16.52,5.04,14.5420183486239,3,0,-Inf
29.46,21.07,16.89,4.72,15.4307954545455,0,0,-Inf
41.07,20.65,25.95,4.63,15.3371232876712,56,1,-Inf
41.07,20.65,25.95,4.63,15.3917142857143,57,1,-Inf
40.2,20.65,24.69,4.63,15.3840845070423,51,0,-Inf
29.85,17.54,15.14,4.9,14.3567777777778,0,0,-Inf
30.53,17.65,16.52,5.04,14.5672380952381,3,0,-Inf
32.78,21.07,17.63,4.72,15.3937931034483,5,0,-Inf
28.77,20.2,15.46,4.83,15.0136708860759,0,0,-Inf
36.95,17.54,20.76,4.9,14.7487096774194,18,0,-Inf
42.98,20.65,28.16,4.63,15.3566901408451,62,4,-Inf
32.24,15.98,16.11,3.55,15.5419540229885,10,0,-Inf
29.85,17.54,15.35,4.9,14.3727368421053,0,0,-Inf
32.78,21.07,18.62,4.72,15.413908045977,8,0,-Inf
26.87,13.8,14.7,2.67,13.5735,0,0,-Inf
29.46,21.07,16.89,4.72,15.416976744186,0,0,-Inf
31.07,19.38,16.7,4.42,15.5444642857143,3,0,-Inf
31.13,15.62,16.26,3.43,15.5303488372093,6,0,-Inf
27.34,15,14.15,2.17,14.0115,0,0,-Inf
42.98,20.65,28.16,4.63,15.3512328767123,59,3,-Inf
42.98,20.65,28.16,4.63,15.3025503355705,64,4,-Inf
29,17.1,13.58,3.87,14.5373611111111,0,0,-Inf
29,17.1,13.58,3.87,14.7298611111111,0,0,-Inf
29.5,21.07,16.89,4.72,15.4097727272727,0,0,-Inf
42.98,20.65,28.16,4.63,15.3718367346939,61,4,-Inf
29.46,21.07,16.89,4.72,15.4235897435897,0,0,-Inf
31.29,18.06,13.99,4.15,15.3185135135135,3,0,-Inf
29.46,21.07,16.89,4.72,15.4374712643678,0,0,-Inf
30.37,17.65,16.52,5.04,14.4887387387387,1,0,-Inf
31.15,15.98,16.11,3.55,15.5671951219512,6,0,-Inf
30,17.65,16.52,5.04,14.4252336448598,0,0,-Inf
30.82,21.07,16.89,4.72,15.393908045977,1,0,-Inf
40.2,20.65,24.6,4.63,15.4708759124088,49,0,-Inf
30.37,17.65,16.52,5.04,14.5022857142857,1,0,-Inf
29.46,21.07,16.89,4.72,15.3930120481928,0,0,-Inf
29.85,17.54,15.35,4.9,14.406914893617,0,0,-Inf
40.2,20.65,24.6,4.63,15.496,48,0,-Inf
29,17.1,13.58,3.87,14.5191428571429,0,0,-Inf
30,17.65,16.52,5.04,14.4266346153846,0,0,-Inf
42.98,20.65,28.16,4.63,15.3295890410959,63,4,-Inf
32.78,21.07,18.62,4.72,15.3692222222222,8,0,-Inf
29,17.1,13.58,3.87,14.5930882352941,0,0,-Inf
28.18,19.38,13.73,4.15,15.3298360655738,0,0,-Inf
29.2,17.1,13.58,3.87,14.9794565217391,0,0,-Inf
32.78,21.07,18.62,4.72,15.4134523809524,8,0,-Inf
29.2,17.1,13.58,3.87,15.07,0,0,-Inf
